,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Amps,Colour,Connection Type,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Position,Pressure,Pump Type,Range,Voltage (V),Warranty,Watts,Phase,Hazardous,Positive / Neutral / Universal,Twin / Single,Material,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Output,Feature 11,Feature 12,Feature 13,Feature 14
0,PD01696,Center CB Shower Pump twin shower pump 2.0bar,Center CB,136.24,"Quiet and efficient, the Center CB 2 bar positive head centrifugal shower pump boosts both hot and cold water in positive head, gravity fed systems.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Center CB Shower Pump twin shower pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/96/D01695D01696_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/CenterCB_D01695-D01696_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/D01696_Center_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wo/rk/CenterCB_D01695-D01696_Artwork.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/CenterCB_D01695-696_Install_Feb2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/CenterCB_D01695-696_Install_Sep2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD01695,Center CB Shower Pump twin shower pump 1.5bar,Center CB,94.99,"Quiet and efficient, the Center CB 1.5 bar positive head centrifugal shower pump boosts both hot and cold water in positive head, gravity fed systems.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Center CB Shower Pump twin shower pump 1.5bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/96/D01695D01696_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/D01695_Center_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/CenterCB_D01695-D01696_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/CenterCB_D01695-696_Install_Feb2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wo/rk/CenterCB_D01695-D01696_Artwork.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/CenterCB_D01695-696_Install_Sep2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PC88041,Salamander CT50 Xtra twin shower pump 1.5bar,Salamander,136.93,"The 1.5 bar Salamander CT50 Xtra twin regenerative shower pump boosts hot and cold water pressure to a single thermostatic shower in a gravity fed, positive head system. Quiet and compact, this continuously rated pump is a fully automatic solution to low water pressure.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT50 Xtra twin shower pump 1.5bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/41/C88041_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTXtra_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Salamander_CTXtra_Pump_Swap_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD52933,Stuart Turner Showermate twin shower pump S1.5 bar,Stuart Turner,212.55,"Offering flow rates of up to 32LPM, the Stuart Turner Showermate standard twin shower pump is used to boost the hot and cold supply to a shower room or bathroom. This high performance yet compact pump is supplied with a pair of 15mm anti-vibration flexible hoses, each with an integral isolation valve on the inlet.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Stuart Turner Showermate twin shower pump S1.5 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/34/NW-D52933_D52934_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Stuart_Showermate_Standard_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Stuart_Showermate_Std_Twin_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rv/es/Stuart_Showermate-Std-Twin_Curves.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P231527,Stuart Turner Showermate twin shower pump S1.5 bar,Stuart Turner,105.0,"Boosting both hot and cold water supplies to a bathroom where pressure is an issue, the Stuart Turner Showermate S1.5 standard twin shower pump supplies reliable flow rates of up to 32LPM. A compact and quiet unit offering excellent levels of performance, Showermate is supplied with two 15mm anti-vibration flexible hoses with integral isolation valves on their inlets in addition to a pre-wired power cable.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Stuart Turner Showermate twin shower pump S1.5 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/34/NW-D52933_D52934_wm.jpg,,,,,,1.7,Black,G3/4 Male,32 L/min,0.6,40,Horizontal,1.5 bar,Peripheral/Regenerative,Showermate,230,3 Year,385,Single,N,Positive,Twin,Plastic,231527 PK,N,Suitable for positive head applications,High-quality compact plastic pump,With 15mm flexible hoses with integral ISO valves on inlets,Quiet in operation,Intermittently rated,With anti-vibration feet,EPDM/PTFE/Al oxide seal,Pre-wired with 1.5M power cable,WRAS approved,3 year warranty,,,,,
5,PC88057,Salamander CT Force 30TU Force 30 Tu Twin Univ 3 Bar Pump,Salamander,363.37,"A quiet and efficient solution to low water pressure, the 3 bar Salamander CT Force 30 twin ended shower and bathroom pump boosts hot and cold supplied to showers, baths and toilets in a negative head gravity fed installation. Providing more powerful showers, faster-filling toilets and stronger mixer tap flow, the robust, effective CT Force meets the demand for increased domestic water supplies.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT Force 30TU Force 30 Tu Twin Univ 3 Bar Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/57/NW-C88055_C88057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTForce_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD08109,Grundfos STN universal twin shower pump 3.0bar,Grundfos,399.0,"Continuously rated as a regenerative pump, the Grundfos STN premium brass shower pump with universal head and two impellers minimises the issue of air pockets, making it ideal for use in a system with many bends and elbows. Suitable for use in domestic, commercial or light industrial applications, this universal pump is able to improve shower pressure by up to 4 bar and boosts hot and cold water to single or multiple showers. Also able to give a whole house boost if outlets are above or below the cold water tank, the corrosion-resistant STN operates at low speed for quieter use and improved reliability for longer.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Grundfos STN universal twin shower pump 3.0bar,,Pump;Flexible ;braided connection hose,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/30/NW-D12027_D12030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P231526,Stuart Turner Showermate Twin shower pump S2.0 bar,Stuart Turner,145.0,"Boosting both hot and cold water supplies to a bathroom where pressure is an issue, the Stuart Turner Showermate S2.0 standard twin shower pump supplies reliable flow rates of up to 37LPM. A compact and quiet unit offering excellent levels of performance, Showermate is supplied with two 15mm anti-vibration flexible hoses with integral isolation valves on their inlets in addition to a pre-wired power cable.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Stuart Turner Showermate Twin shower pump S2.0 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/34/NW-D52933_D52934_wm.jpg,,,,,,1.8,Black,G3/4 Male,37 L/min,0.9,40,Horizontal,2 Bar,Peripheral/Regenerative,Showermate,230,3 Year,420,Single,N,Positive,Twin,Plastic,231526 PK,N,Suitable for positive head applications,High-quality compact plastic pump,With 15mm flexible hoses with integral ISO valves on inlets,Quiet in operation,Intermittently rated,With anti-vibration feet,EPDM/PTFE/Al oxide seal,Pre-wired with 1.5M power cable,WRAS approved,3 year warranty,,,,,
8,PC88058,Salamander CT Force 20SU Force 20 Su Single Uni 2 Bar Pump,Salamander,271.01,"Quiet and efficient, the 2 bar Salamander CT Force 20 single ended pump boosts hot or cold water supplies to a shower or individual taps and outlets in negative head gravity fed installation. Suitable for use in mains fed cold water systems, the CT Force offers more powerful water delivery for faster bath filling and more invigorating showers.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT Force 20SU Force 20 Su Single Uni 2 Bar Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/59/NW-C88058_C88059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTForce_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD08095,Grundfos STP Amazon 3 Bar +VE Twin Regen Pump,Grundfos,325.0,"Part of the Amazon pump range, the Grundfos STP 3 bar regenerative shower pump is fitted with precision-machined brass impellers and brass body stampings. Designed for heavy duty use, this pump supplies reliable flow rates of up to 0.6M³/h and includes all fittings, including braided stainless steel connection hoses, inlet filters and a mains power cable.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Grundfos STP Amazon 3 Bar +VE Twin Regen Pump,,Pump;Flexible ;braided connection hose,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/95/NW-D08095_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Watermill_ShowPump_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR_STR_SSP_STP_SSN_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_Shower_Pump_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
