,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Hazardous,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Colour,Range,Material,Size
0,PN20510,"JET Range 73 vertical pressure gauge 2"" 0-6bar and PSI",JET Range,9.99,"Made of steel with BSP connections, this 50mm JET Range 73 vertical bourbon tube altitude pressure gauge is for use in pneumatic and general utility applications. It is compatible with any gas or liquid that is not highly viscous, will not solidify or crystallize and will not attack or corrode copper alloy parts.","Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> JET Range 73 vertical pressure gauge 2"" 0-6bar and PSI",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/11/NW-N20510_N20511_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Pressure_Gauge_Instructions.pdf,,,,,,,,,,,,,,,,
1,PN21295,JET Range 72 72/090/0 clip on cupped x female pipe thermometer 0/120c,JET Range,62.15,This JET Range 72 66mm bi-metallic dial thermometer is supplied with solid brass pockets and BSP connections.,Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> JET Range 72 72/090/0 clip on cupped x female pipe thermometer 0/120c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/95/NW-N21295_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Bimetal_Thermometer_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Clip-on_Thermometer_Instructions.pdf,,,,,,,,,,,,,,,,
2,P303505,Siemens tamperproof room thermostat 8-30c,Siemens,10.64,"Designed for public sector use, this Siemens electromechanical room thermostat is suitable for installation in the storage and maintenance rooms of schools or similar public premises. Maintaining a selected room temperature in heat only or cooling only systems, this thermostat is tamperproof, helping to reduce the risk of accidental or malicious temperature changes. This thermostat works to constantly read the room temperature, closing the heating contact if it falls below the selected set point or closing the cooling contact if it rises above it.",Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> Siemens tamperproof room thermostat 8-30c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/05/NW-303505_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Siemens_RAA11_21_31_41_KCCertificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Siemens_Suppliers_DOC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_Thermostats_EU_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_RAA11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_G3210_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_Room_Thermostats_Declaration.pdf,,,,,,,,,,,,,
3,P305697,Siemens 4 pipe fan coil unit controller plus fan switch,Siemens,64.5,This Siemens 230V room thermostat controls the temperature in individual rooms heated or cooled with four pipe fan coil units equipped with an electrical heater.,Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> Siemens 4 pipe fan coil unit controller plus fan switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/97/NW-305697_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_RCC30_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Siemens_M3021_Thermostat_Install.pdf,,,,,,,,,,,,,,,,,
4,P307062,ESBE CRA215 regulator 230V 6NM (UK),ESBE,422.4,"Designed for use where a constant flow temperature is needed, the ESBE CRA200 230V 6NM regulator is a constant temperature controller with integrated actuator. It is suitable for use with rotary mixing valves series VRx100, VRx200 and VRx300.",Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> ESBE CRA215 regulator 230V 6NM (UK),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/62/307062_wm.jpg,,,,,,,N,88 x 105 x 77 mm,12721500,Constant temperature Controller,N,Hydronic Controls,ESBE smart software and self adaptive system,Low noise level,Offers accurate control,,,,
5,P359296,Siemens room thermostat with set point adjustment,Siemens,10.64,The 24 to 250 VAC Siemens RAA21 thermostat is built for use in heating only or cooling only systems. This thermostat is used to maintain a selected room temperature.,Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> Siemens room thermostat with set point adjustment,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/96/NW-359296_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_RAA_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_RAA21_Technical.pdf,,,,,,,,,,,,,,,,,
6,PN20702,"JET Range back thermostat cupped x female 0/120c 4"" 50mm",JET Range,51.3,"Designed with solid brass pockets and back entry, the JET Range 73 50mm bi-metal pipeline thermometer is fitted with a 1/2"" BSP process connection. This thermometer features a sensor probe which should be fully immersed into pipeline or vessel flow with nominal range and stem lengths selected beforehand. Providing high levels of sensitivity, the pocket is an interference fit on the brass stem, meaning that a thermometer shouldn't be installed without it. Thermometers should be kept dry, clean and protected from impact and used only in a temperature range of 0 to +120°C.","Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> JET Range back thermostat cupped x female 0/120c 4"" 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/02/N20702_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Thermometer_Pockets_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Bimetal_Thermometer_Instructions.pdf,,,,,,,,,,,,,,,
7,PN20700,"JET Range 73 73/264/1 bottom thermostat cupped x female 0/120c 4"" 50mm",JET Range,68.86,"Supplied with solid brass pockets, the JET Range 73 100mm bi-metal pipeline thermometer includes a process connection of 1/2"" BSP. Pockets are produced as an interference fit on the brass stem to provide high levels of sensitivity and thermometers shouldn't be installed without the included pocket or a separately supplied version. Ensure that thermometers are kept dry and clean and within a temperature range of -20 to +60°C, protected from impact damage. Thermometers measure the temperature experienced by the sensor probe so it is vital that the probe is fully immersed into the flow of the pipeline or vessel with correct nominal range and stem lengths selected ahead of installation.","Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> JET Range 73 73/264/1 bottom thermostat cupped x female 0/120c 4"" 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/00/N20700_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Thermometer_Pockets_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Bimetal_Thermometer_Instructions.pdf,,,,,,,,,,,,,,,
8,PN20593,"JET Range 73 vertical pressure gauge 4"" 0-10bar",JET Range,38.49,"Made of steel with BSP connections, this 100mm JET Range 73 vertical bourbon tube altitude pressure gauge is for use in pneumatic and general utility applications. It is compatible with any gas or liquid that is not highly viscous, will not solidify or crystallize and will not attack or corrode copper alloy parts.","Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> JET Range 73 vertical pressure gauge 4"" 0-10bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/93/N20593_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Pressure_Gauge_Instructions.pdf,,,,,,,,,,,,,,,,
9,PN20594,"JET Range 73 73/255/0 vertical pressure gauge 4"" 0-16bar",JET Range,38.49,"Made of steel with BSP connections, this 100mm JET Range 73 vertical bourbon tube altitude pressure gauge is for use in pneumatic and general utility applications. It is compatible with any gas or liquid that is not highly viscous, will not solidify or crystallize and will not attack or corrode copper alloy parts.","Heating/Central Heating Controls/Commercial Heating Controls/Commercial Heating Controls.csv -> JET Range 73 73/255/0 vertical pressure gauge 4"" 0-16bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/94/N20594_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Pressure_Gauge_Instructions.pdf,,,,,,,,,,,,,,,,
