,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Seasonal Space Heating Energy Efficiency %,Seasonal Space Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Boiler Bundles,Feature 9,Feature 10,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Water Heating Energy Efficiency Class
0,P333928,Worcester Bosch Greenstar Danesmoor External 25/32 2022+ heat only boiler,Worcester Bosch,2594.0,"A regular oil boiler ideal for external fitting on properties of almost any size, the Worcester Bosch Greenstar Danesmoor External 25/32 2022+ heat only boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Worcester Bosch Greenstar Danesmoor External 25/32 2022+ heat only boiler,,Boiler;Greenstar Danesmoor External installation;Commissioning ;servicing instruction manual;User Instructions;Guarantee registration card;Condensate trap;BSP plug;Cabinet key;100mm services duct;Balanced flue kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/72/115370_115372_wm.jpg,White,Oil,Greenstar Danesmoor External,2 years,124 kg,A,N,"A/91%,91",A,32 kW,780,90.7,Floor Standing,333928 PK,Heat Only Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,,,
1,P333924,Worcester Bosch Greenstar Danesmoor Utility 18/25 2022+ heat only boiler,Worcester Bosch,1664.0,"A regular oil boiler ideal for the utility room in homes of almost any size, the Worcester Bosch Greenstar Danesmoor External 18/25 2022+ heat only boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Worcester Bosch Greenstar Danesmoor Utility 18/25 2022+ heat only boiler,,Boiler;Greenstar Danesmoor installation;Commissioning ;servicing instruction manual;User instructions;Fascia information card;Guarantee registration card;BSP plug;ErP label;Flue damper,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/67/115365_115367_wm.jpg,White,Oil,Greenstar Danesmoor Utility,2 years,1.08 kg,A,N,"90,A/90%",A,25 kW,600,90.6,Floor Standing,333924 PK,Heat Only Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,,,
2,P333925,Worcester Bosch Greenstar Danesmoor Utility 25/32 2022+ heat only boiler,Worcester Bosch,2198.0,"A regular oil boiler ideal for the utility room in homes of almost any size, the Worcester Bosch Greenstar Danesmoor External 25/32 2022+ heat only boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Worcester Bosch Greenstar Danesmoor Utility 25/32 2022+ heat only boiler,,Boiler;Greenstar Danesmoor installation;Commissioning ;servicing instruction manual;User instructions;Fascia information card;Guarantee registration card;BSP plug;ErP label;Flue damper,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/67/115365_115367_wm.jpg,White,Oil,Greenstar Danesmoor Utility,2 years,11.5 kg,A,N,"A/91%,91",A,32 kW,600,90.5,Floor Standing,333925 PK,Heat Only Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,,,
3,P333893,Grant Vortex Eco Utility 21/26 floor standing heat only oil boiler,Grant,1533.0,"With its simplified design, including an uncomplicated pipework layout and fuss-free control panel, the Grant Vortex Eco Utility 21/26 automatic pressure jet oil boilers, is easy to install and particularly well-suited to utility room spaces. Featuring cutting edge internal components such as a Riello RDB low-NOx burner and Grant's own stainless steel heat exchanger, this boiler combines robustness with economy, helping to reduce costs with an ErP A rating while ensuring the best possible performance.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Grant Vortex Eco Utility 21/26 floor standing heat only oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/as/e)/Grant Vortex Eco Utility Boiler (Case)_wm.jpg,Red,Oil,Vortex Eco Utility,5 Years,97kg,A,N,91.7,,26 kW,601,91.67,Floor Standing,333893 PK,Heat Only Boiler,N,Suitable for use in open-vented or sealed central heating systems,"Simplified casing, control panel and pipework",Exceptionally quiet operation,Optional side or rear flue exits,Front service access,Fitted with a Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Compliant with September 2018 low-NOx legislation,333893,5 year warranty available when following Grant installation specification and guidelines,,,,,,,,
4,P333921,Worcester Bosch Greenstar Danesmoor Kitchen Regular ErP+ 18/25 boiler,Worcester Bosch,1941.0,"Suitable for use in off-gas properties, the Worcester Bosch Greenstar Danesmoor Kitchen 18/25 ErP+ regular boiler has a compact design especially for fast, stress-free installation in a kitchen or utility room. ErP A-rated for its high levels of efficiency, this robust and reliable regular boiler offers full compatibility with sustainable sources such as Bosch's Greenskies solar panels and Greensource air-to-water pumps, helping to improve the Danesmoor's eco-friendly credentials even further while also significantly reducing household costs.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Worcester Bosch Greenstar Danesmoor Kitchen Regular ErP+ 18/25 boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ch/en/Danesmoor Kitchen_wm.jpg,White,Oil,Greenstar Danesmoor Kitchen Regular ErP+,,,,N,"90,A/90%",A,,,,,333921 PK,Condensing Regular Boiler Pack,N,Suitable for homes of any size,Perfect for kitchen or utility room installation,Over 90% efficient to help reduce energy bills and carbon footprint,Compatible with an optional 7 day programmer,Can be used with Greenskies solar panels and Greensource air-to-water heat pumps for energy and cost savings,Compatible with Greenstore hot water cylinders,2 year warranty,,,,,,,,,,,
5,P333912,Grant Vortex Eco External 15/21 floor standing heat only oil boiler,Grant,1629.0,"The steel-enclosed Grant Vortex Eco External 15/21 condensing boiler is tough and reliable, allowing for installation anywhere outside of the home and standing up to all conditions. With a multi-directional flue and extremely low noise levels, this unit makes installation easy and flexible while cutting edge components such as a Riello RDB low-NOx burner and Grant's own design stainless steel heat exchanger provide ErP A-rated efficiency and reliable operation even under the stresses of inclement weather.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Grant Vortex Eco External 15/21 floor standing heat only oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Eco_External_wm.jpg,White/Gloss,Oil,Vortex Eco External,5 Year,113kg,A,N,A,,21 kW,800,92.68,Floor Standing,333912 PK,External Condensing Boiler,N,Suitable for fitting against a wall or freestanding away from the property,Factory-fitted multi-directional flue for flexible fitting,Exceptionally quiet operation,Galvanised steel enclosure,High quality powder-coated paint finish for weather protection,Fitted with Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Mains isolating switch and test switch,333912,Factory-fitted frost stat set to 5°C,5 year warranty available when following Grant installation specification and guidelines,,,,,,,
6,P116281,Grant Vortex Pro External 15/26 ErP external oil boiler,Grant,2317.63,"Tough and reliable, the galvanised steel Grant Vortex Pro External 15/26 oil boiler has a weatherproof powder-coating and inbuilt frost resistance for effective all-weather operation. Supplied with a factory-fitted flexible flue and free from complicated wiring and plumbing, this compact boiler is extremely easy and quick to install. It is fitted with the Grant Vortex heat exchanger and a Riello low-NOx burner for efficient, ErP A-rated heating.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Grant Vortex Pro External 15/26 ErP external oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/85/116280_116285_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116281_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_Vortex_Pro_External_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grant_Vortex_Pro_External_Install.pdf,
7,P174951,Warmflow Agentis E21 external heat only oil boiler 21kW,Warmflow,1781.79,"Designed for convenient outdoor installation, the Warmflow Agentis E21 external heat only boiler has a robust, maintenance-free weatherproof casing for reliability, rain, snow or shine. Supplied with a range of flueing options, this oil-fired boiler provides siting flexibility and with a Riello low-NOx burner and patented heat exchanger ensures AA-rated efficiency for reduced energy bills, fuel savings and less harmful emissions.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Warmflow Agentis E21 external heat only oil boiler 21kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/53/174951_174953_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Warmflow_Agentis_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Warmflow_Agentis_E21_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Warmflow_Oil_Boilers_Guide.pdf,,,,
8,P333892,Grant Vortex Eco Utility 15/21 floor standing heat only oil boiler,Grant,1416.0,"With its simplified design, including an uncomplicated pipework layout and fuss-free control panel, the Grant Vortex Eco Utility 15/21 automatic pressure jet oil boilers, is easy to install and particularly well-suited to utility room spaces. Featuring cutting edge internal components such as a Riello RDB low-NOx burner and Grant's own stainless steel heat exchanger, this boiler combines robustness with economy, helping to reduce costs with an ErP A rating while ensuring the best possible performance.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Grant Vortex Eco Utility 15/21 floor standing heat only oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/as/e)/Grant Vortex Eco Utility Boiler (Case)_wm.jpg,White/Gloss,Oil,Vortex Eco Utility,5 Years,97kg,A,N,92.7,,21 kW,601,92.68,Floor Standing,333892 PK,Heat Only Boiler,N,Suitable for use in open-vented or sealed central heating systems,"Simplified casing, control panel and pipework",Exceptionally quiet operation,Optional side or rear flue exits,Front service access,Fitted with a Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Compliant with September 2018 low-NOx legislation,333892,5 year warranty available when following Grant installation specification and guidelines,,,,,,,,
9,P333923,Worcester Bosch Greenstar Danesmoor Utility Regular ErP+ 12/18 boiler,Worcester Bosch,1654.0,"A powerful choice for homes of any size, the Worcester Bosch Greenstar Danesmoor Utility 12/18 ErP+ regular boiler provides reliable supplies even in properties with more than two bathrooms or those where water pressure is low, with no need for a pump or water tank. ErP A-rated for its excellent levels of efficiency, this quiet boiler has a compact design that will slot smartly between units in a kitchen or utility room, keeping it in easy reach for complete control.",Boilers/Oil Boilers/Oil Heat Only Boilers/Oil Heat Only Boilers.csv -> Worcester Bosch Greenstar Danesmoor Utility Regular ErP+ 12/18 boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ro/nt/Danesmoor_Utility_caseon_front_wm.jpg,White,Oil,Greenstar Danesmoor Utility Regular ErP+,,,,N,"90,A/90%",A,,,,,333923 PK,Condensing Regular Boiler Pack,N,Quiet in operation,No need for separate pump and loft tank,Concealed boiler controls including hot water temperature control and system pressure gauge,Over 90% efficiency,Suitable for use where mains water pressure is low,Highly efficient,Suitable for use with Greenskies solar panels,Compatible with Greenstore hot water cylinders,,2 year warranty,,,,,,,,
