,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Flush Type,Warranty,Hazardous,Depth (mm),Overflow Type,Air Pipe Supplied,Inlet Position,Flush Mechanism,Material,Fittings Included,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 3,Range,Feature 7,Feature 8,Attachment 4,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Material Type,Pack Quantity,Sector
0,PB24016,Nabis Concealed cistern bottom entry concealed cistern and button,Nabis,39.49,"Containing an innovative air inlet valve, this Nabis concealed cistern can achieve an AG-type air gap. Suitable for in-wall or furniture installation, this compact cistern has a push button adjustable dual flush with delayed action inlet valve for water economy. Supplied as a complete kit for easy installation, the Nabis cistern includes a flushing valve, bottom entry inlet valve and chrome push button.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Nabis Concealed cistern bottom entry concealed cistern and button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/17/NW-B24016_B24017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/B24016_Nabis_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B24016_B24017_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PB28000,Twyford Classic low level side inlet side outlet cistern White,Twyford,81.85,"For installation where service points can't be changed, the Twyford Classic low level toilet cistern with 6L lever-operated flush offers the ideal solution.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Twyford Classic low level side inlet side outlet cistern White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/00/NW-B28000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_ClassicLowLevelWC_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PB90514,Thomas Dudley Mirage bottom inlet concealed cistern,Thomas Dudley,69.25,"This Thomas Dudley Mirage concealed cistern with bottom inlet and outlet features a two part Turbo 88 duo flush siphon. With a high-impact polystyrene body, this cistern includes an internal and external overflow warning pipe for peace of mind.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Mirage bottom inlet concealed cistern,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/14/B90514_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_Mirage_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PP07591,Geberit Selnova Square Close coupled square cistern push button BSIO,Geberit,118.4,"Suitable for close-coupled WCs, the Geberit Selnova Square cistern's classic, simple and discreet design is made of a robust white vitreous china to blend seamlessly with most bathroom suites.  This cistern has a dual flush operated with a simple push-button capable  of a flush range volume of 2.6 to 6 litres, saving you water. Combine with Geberit Selnova Square CC Pan & Seat.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Geberit Selnova Square Close coupled square cistern push button BSIO,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/P07591_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/P07591_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PN68977,Ideal Standard i. Life S close coupled cistern 4/2.6L,Ideal Standard,160.0,"A designer-look unit for modern bathrooms, the Ideal Standard i.Life S close-coupled toilet cistern is particularly well-suited to bathrooms where space is limited. Helping to save on water waste, this push-button operated cistern has a dual flush mechanism.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Ideal Standard i. Life S close coupled cistern 4/2.6L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/77/N68977_wm.jpg,,,White,Dual,Lifetime,N,150,push button,No,bottom,Push Button,Vitreous China,No,E337401,Cistern,N,4 l,Designed by Palomba Serafini Associati,Push-button operation,Water saving dual flush,White colour,Vitreous china construction,Lifetime warranty,,,,,,,,,,,,,,,,
5,PB91615,Thomas Dudley Acclaim low level side inlet side outlet cistern 6-9ltr White,Thomas Dudley,49.62,"Suitable for domestic or commercial use, this Thomas Dudley Acclaim side inlet plastic toilet cistern has a modern design suitable for a host of settings. It is supplied with a 6/7/9L lever-operated dual flush.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Acclaim low level side inlet side outlet cistern 6-9ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/15/NW-B91615_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_LightDutyCisterns_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Thomas Dudley_B91615_User Guide.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Thomas Dudley_B91615_Brochure.pdf,,,,,,,,,,,,,,,
6,PB98529,"Saniflo Saniflush All in one WC, complete with macerator for WC, basin, shower",Saniflo,994.47,"A timeless design for any bathroom, the Saniflo all-in-one WC has a built-in macerator and a 3/6L spiral flush system for reliable and convenient use. Offering the option to add in a basin and shower, the macerator is easily accessed by simply sliding back the ceramic panel, making cleaning and maintenance simple.","Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Saniflo Saniflush All in one WC, complete with macerator for WC, basin, shower",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/66/598966_wm.jpg,,,White,dual flush push button,2 years,N,671,N/A,N/A,one on each side,Push Button,Ceramic,Yes,1089,Toilet Cistern,N,6 l,All-in-one design,"With macerator to accommodate WC, basin and shower",Push-button operation,3/6L dual flush,Ceramic construction,White colour,,Saniflush,Inlets on each side,2 year warranty,,,,,,,,,,,,
7,PB55254,Grohe Rapid SL wall frame 1.13m,Grohe,260.16,"The Grohe Rapid SL 3-in-1 installation set for wall-hung toilets makes fitting straightforward with the toolless QuickFix system, allowing connection of the hose, inspection shaft and water supply with ease. The steel frame is certified to hold loads of over 400kg for reliable stability and can be quickly installed in front of a solid wall or into a stud wall. Featuring a 6 - 9L dual flush with EcoJoy technology, this cistern kit reduces water consumption by up to 50% with no loss of flushing power and operates quietly thanks to the Whisper low-noise fittings and separate plumbing.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Grohe Rapid SL wall frame 1.13m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/54/NW-B55254_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_100181340_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_38772001_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PB28100,Twyford Classic low level bottom supply bottom outlet cistern White,Twyford,81.85,This Twyford Classic low level 6L cistern with chrome plated lever is suitable for use where existing service points can't be altered.,Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Twyford Classic low level bottom supply bottom outlet cistern White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/00/NW-B28100_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Twyford_Classic_Low_Level_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_ClassicLowLevelWC_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PB24017,Nabis Flushing side entry concealed cistern,Nabis,53.1,"The innovative air inlet valve fitted to the Nabis Flushing concealed toilet cistern is capable of achieving an AG-type air gap. Providing easy installation, this complete kit includes a flushing valve, side entry valve and a smart chrome-plated push button. The compact Flushing is suitable for either in-wall or in-furniture installation and has a 6/4L or 4/2.6L adjustable dual flush with delayed action inlet valve, helping users to minimise water usage.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Nabis Flushing side entry concealed cistern,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/17/NW-B24016_B24017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/B24017_Nabis_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B24016_B24017_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
